Dates,data1,data2,data3,data4
2019-11-01 00:00:00,771.0,850.0,850.0,438.0
2019-11-01 00:30:00,816.0,905.0,905.0,438.0
2019-11-01 01:00:00,847.0,961.0,961.0,438.0
2019-11-01 01:30:00,886.0,1033.0,1033.0,438.0
2019-11-01 02:00:00,926.0,1077.0,1077.0,448.0
2019-11-01 02:30:00,974.0,1122.0,1122.0,443.0
2019-11-01 03:00:00,1023.0,1214.0,1214.0,458.0
2019-11-01 03:30:00,1089.0,1325.0,1325.0,453.0
2019-11-01 04:00:00,1157.0,1422.0,1422.0,474.0
2019-11-01 04:30:00,1234.0,1506.0,1506.0,464.0
2019-11-01 05:00:00,1322.0,1540.0,1540.0,502.0
2019-11-01 05:30:00,1429.0,1592.0,1592.0,491.0
2019-11-01 06:00:00,1538.0,1610.0,1610.0,553.0
2019-11-01 06:30:00,1657.0,1610.0,1610.0,524.0
2019-11-01 07:00:00,1778.0,1628.0,1628.0,756.0
2019-11-01 07:30:00,1871.0,1610.0,1610.0,623.0
2019-11-01 08:00:00,1965.0,1610.0,1610.0,1131.0
2019-11-01 08:30:00,2040.0,1592.0,1592.0,950.0
2019-11-01 09:00:00,2097.0,1557.0,1557.0,1401.0
2019-11-01 09:30:00,2144.0,1523.0,1523.0,1290.0
2019-11-01 10:00:00,2182.0,1489.0,1489.0,1553.0
2019-11-01 10:30:00,2192.0,1456.0,1456.0,1487.0
2019-11-01 11:00:00,2201.0,1422.0,1422.0,1644.0
2019-11-01 11:30:00,2201.0,1406.0,1406.0,1606.0
2019-11-01 12:00:00,2192.0,1373.0,1373.0,1699.0
2019-11-01 12:30:00,2173.0,1341.0,1341.0,1675.0
2019-11-01 13:00:00,2135.0,1293.0,1293.0,1739.0
2019-11-01 13:30:00,2106.0,1277.0,1277.0,1723.0
2019-11-01 14:00:00,2069.0,1230.0,1230.0,1754.0
2019-11-01 14:30:00,2031.0,1214.0,1214.0,1746.0
2019-11-01 15:00:00,1993.0,1183.0,1183.0,1762.0
2019-11-01 15:30:00,1956.0,1168.0,1168.0,1762.0
2019-11-01 16:00:00,1909.0,1137.0,1137.0,1771.0
2019-11-01 16:30:00,1871.0,1122.0,1122.0,1771.0
2019-11-01 17:00:00,1824.0,1107.0,1107.0,1787.0
2019-11-01 17:30:00,1797.0,1122.0,1122.0,1787.0
2019-11-01 18:00:00,1759.0,1153.0,1153.0,1803.0
2019-11-01 18:30:00,1731.0,1199.0,1199.0,1795.0
2019-11-01 19:00:00,1704.0,1293.0,1293.0,1835.0
2019-11-01 19:30:00,1676.0,1406.0,1406.0,1827.0
2019-11-01 20:00:00,1648.0,1523.0,1523.0,1893.0
2019-11-01 20:30:00,1629.0,1628.0,1628.0,1860.0
2019-11-01 21:00:00,1602.0,1719.0,1719.0,1968.0
2019-11-01 21:30:00,1583.0,1812.0,1812.0,1926.0
2019-11-01 22:00:00,1565.0,1888.0,1888.0,2053.0
2019-11-01 22:30:00,1538.0,1945.0,1945.0,2002.0
2019-11-01 23:00:00,1510.0,2004.0,2004.0,2148.0
2019-11-01 23:30:00,1492.0,2023.0,2023.0,2096.0
2019-11-02 00:00:00,1474.0,2063.0,2063.0,2246.0
2019-11-02 00:30:00,1456.0,2082.0,2082.0,2192.0
2019-11-02 01:00:00,1429.0,2102.0,2102.0,2336.0
2019-11-02 01:30:00,1411.0,2102.0,2102.0,2291.0
2019-11-02 02:00:00,1393.0,2122.0,2122.0,2409.0
2019-11-02 02:30:00,1366.0,2122.0,2122.0,2372.0
2019-11-02 03:00:00,1340.0,2122.0,2122.0,2452.0
2019-11-02 03:30:00,1322.0,2142.0,2142.0,2435.0
2019-11-02 04:00:00,1304.0,2142.0,2142.0,2487.0
2019-11-02 04:30:00,1286.0,2162.0,2162.0,2478.0
2019-11-02 05:00:00,1260.0,2162.0,2162.0,2514.0
2019-11-02 05:30:00,1243.0,2182.0,2182.0,2505.0
2019-11-02 06:00:00,1225.0,2203.0,2203.0,2514.0
2019-11-02 06:30:00,1208.0,2243.0,2243.0,2514.0
2019-11-02 07:00:00,1191.0,2264.0,2264.0,2514.0
2019-11-02 07:30:00,1174.0,2284.0,2284.0,2514.0
2019-11-02 08:00:00,1157.0,2346.0,2346.0,2505.0
2019-11-02 08:30:00,1140.0,2367.0,2367.0,2505.0
2019-11-02 09:00:00,1123.0,2409.0,2409.0,2470.0
2019-11-02 09:30:00,1106.0,2451.0,2451.0,2487.0
2019-11-02 10:00:00,1089.0,2472.0,2472.0,2443.0
2019-11-02 10:30:00,1073.0,2514.0,2514.0,2461.0
2019-11-02 11:00:00,1064.0,2536.0,2536.0,2409.0
2019-11-02 11:30:00,1056.0,2578.0,2578.0,2426.0
2019-11-02 12:00:00,1039.0,2598.0,2598.0,2363.0
2019-11-02 12:30:00,1031.0,2619.0,2619.0,2391.0
2019-11-02 13:00:00,1023.0,2619.0,2619.0,2318.0
2019-11-02 13:30:00,1007.0,2640.0,2640.0,2345.0
2019-11-02 14:00:00,999.0,2640.0,2640.0,2273.0
2019-11-02 14:30:00,990.0,2640.0,2640.0,2300.0
2019-11-02 15:00:00,974.0,2640.0,2640.0,2210.0
2019-11-02 15:30:00,958.0,2640.0,2640.0,2246.0
2019-11-02 16:00:00,942.0,2640.0,2640.0,2166.0
2019-11-02 16:30:00,934.0,2640.0,2640.0,2192.0
2019-11-02 17:00:00,926.0,2640.0,2640.0,2105.0
2019-11-02 17:30:00,910.0,2619.0,2619.0,2131.0
2019-11-02 18:00:00,902.0,2598.0,2598.0,2053.0
2019-11-02 18:30:00,886.0,2598.0,2598.0,2079.0
2019-11-02 19:00:00,878.0,2598.0,2598.0,2002.0
2019-11-02 19:30:00,870.0,2578.0,2578.0,2028.0
2019-11-02 20:00:00,855.0,2557.0,2557.0,1943.0
2019-11-02 20:30:00,847.0,2536.0,2536.0,1977.0
2019-11-02 21:00:00,832.0,2514.0,2514.0,1893.0
2019-11-02 21:30:00,824.0,2493.0,2493.0,1918.0
2019-11-02 22:00:00,816.0,2472.0,2472.0,1844.0
2019-11-02 22:30:00,801.0,2430.0,2430.0,1860.0
2019-11-02 23:00:00,794.0,2430.0,2430.0,1795.0
2019-11-02 23:30:00,794.0,2409.0,2409.0,1819.0
2019-11-03 00:00:00,779.0,2388.0,2388.0,1739.0
2019-11-03 00:30:00,771.0,2367.0,2367.0,1771.0
2019-11-03 01:00:00,771.0,2346.0,2346.0,1691.0
2019-11-03 01:30:00,764.0,2325.0,2325.0,1715.0
2019-11-03 02:00:00,756.0,2284.0,2284.0,1652.0
2019-11-03 02:30:00,749.0,2264.0,2264.0,1668.0
2019-11-03 03:00:00,734.0,2243.0,2243.0,1606.0
2019-11-03 03:30:00,734.0,2203.0,2203.0,1629.0
2019-11-03 04:00:00,719.0,2182.0,2182.0,1560.0
2019-11-03 04:30:00,719.0,2162.0,2162.0,1583.0
2019-11-03 05:00:00,712.0,2142.0,2142.0,1523.0
2019-11-03 05:30:00,704.0,2102.0,2102.0,1545.0
2019-11-03 06:00:00,697.0,2102.0,2102.0,1487.0
2019-11-03 06:30:00,690.0,2063.0,2063.0,1501.0
2019-11-03 07:00:00,683.0,2043.0,2043.0,1451.0
2019-11-03 07:30:00,676.0,2004.0,2004.0,1465.0
2019-11-03 08:00:00,668.0,2004.0,2004.0,1415.0
2019-11-03 08:30:00,668.0,1965.0,1965.0,1436.0
2019-11-03 09:00:00,661.0,1945.0,1945.0,1380.0
2019-11-03 09:30:00,654.0,1926.0,1926.0,1401.0
2019-11-03 10:00:00,647.0,1907.0,1907.0,1352.0
2019-11-03 10:30:00,647.0,1869.0,1869.0,1366.0
2019-11-03 11:00:00,640.0,1850.0,1850.0,1317.0
2019-11-03 11:30:00,633.0,1831.0,1831.0,1331.0
2019-11-03 12:00:00,633.0,1812.0,1812.0,1283.0
2019-11-03 12:30:00,626.0,1793.0,1793.0,1304.0
2019-11-03 13:00:00,626.0,1774.0,1774.0,1256.0
2019-11-03 13:30:00,620.0,1737.0,1737.0,1277.0
2019-11-03 14:00:00,613.0,1719.0,1719.0,1236.0
2019-11-03 14:30:00,613.0,1700.0,1700.0,1250.0
2019-11-03 15:00:00,606.0,1682.0,1682.0,1203.0
2019-11-03 15:30:00,599.0,1664.0,1664.0,1217.0
2019-11-03 16:00:00,592.0,1646.0,1646.0,1174.0
2019-11-03 16:30:00,585.0,1628.0,1628.0,1188.0
2019-11-03 17:00:00,585.0,1610.0,1610.0,1153.0
2019-11-03 17:30:00,578.0,1592.0,1592.0,1167.0
2019-11-03 18:00:00,572.0,1574.0,1574.0,1124.0
2019-11-03 18:30:00,565.0,1557.0,1557.0,1138.0
2019-11-03 19:00:00,565.0,1557.0,1557.0,1104.0
2019-11-03 19:30:00,559.0,1540.0,1540.0,1110.0
2019-11-03 20:00:00,559.0,1523.0,1523.0,1076.0
2019-11-03 20:30:00,552.0,1506.0,1506.0,1090.0
2019-11-03 21:00:00,552.0,1489.0,1489.0,1056.0
2019-11-03 21:30:00,545.0,1472.0,1472.0,1069.0
2019-11-03 22:00:00,539.0,1456.0,1456.0,1035.0
2019-11-03 22:30:00,539.0,1439.0,1439.0,1042.0
2019-11-03 23:00:00,539.0,1422.0,1422.0,1009.0
2019-11-03 23:30:00,532.0,1406.0,1406.0,1029.0
2019-11-04 00:00:00,532.0,1406.0,1406.0,989.0
2019-11-04 00:30:00,526.0,1390.0,1390.0,1002.0
2019-11-04 01:00:00,526.0,1357.0,1357.0,970.0
2019-11-04 01:30:00,519.0,1357.0,1357.0,983.0
2019-11-04 02:00:00,519.0,1341.0,1341.0,957.0
2019-11-04 02:30:00,519.0,1325.0,1325.0,963.0
2019-11-04 03:00:00,513.0,1309.0,1309.0,937.0
2019-11-04 03:30:00,513.0,1309.0,1309.0,944.0
2019-11-04 04:00:00,513.0,1293.0,1293.0,918.0
2019-11-04 04:30:00,506.0,1277.0,1277.0,925.0
2019-11-04 05:00:00,506.0,1261.0,1261.0,906.0
2019-11-04 05:30:00,506.0,1245.0,1245.0,912.0
2019-11-04 06:00:00,500.0,1245.0,1245.0,887.0
2019-11-04 06:30:00,500.0,1230.0,1230.0,900.0
2019-11-04 07:00:00,500.0,1214.0,1214.0,875.0
2019-11-04 07:30:00,494.0,1199.0,1199.0,881.0
2019-11-04 08:00:00,494.0,1183.0,1183.0,861.0
2019-11-04 08:30:00,488.0,1183.0,1183.0,868.0
2019-11-04 09:00:00,488.0,1168.0,1168.0,846.0
2019-11-04 09:30:00,488.0,1153.0,1153.0,853.0
2019-11-04 10:00:00,481.0,1153.0,1153.0,825.0
2019-11-04 10:30:00,481.0,1137.0,1137.0,832.0
2019-11-04 11:00:00,475.0,1122.0,1122.0,811.0
2019-11-04 11:30:00,475.0,1122.0,1122.0,818.0
2019-11-04 12:00:00,475.0,1107.0,1107.0,797.0
2019-11-04 12:30:00,475.0,1092.0,1092.0,804.0
2019-11-04 13:00:00,475.0,1092.0,1092.0,783.0
2019-11-04 13:30:00,469.0,1077.0,1077.0,790.0
2019-11-04 14:00:00,469.0,1063.0,1063.0,770.0
2019-11-04 14:30:00,462.0,1063.0,1063.0,777.0
2019-11-04 15:00:00,462.0,1048.0,1048.0,756.0
2019-11-04 15:30:00,456.0,1048.0,1048.0,756.0
2019-11-04 16:00:00,456.0,1033.0,1033.0,743.0
2019-11-04 16:30:00,456.0,1019.0,1019.0,750.0
2019-11-04 17:00:00,456.0,1019.0,1019.0,737.0
2019-11-04 17:30:00,450.0,1019.0,1019.0,737.0
2019-11-04 18:00:00,450.0,1004.0,1004.0,717.0
2019-11-04 18:30:00,444.0,1004.0,1004.0,723.0
2019-11-04 19:00:00,444.0,990.0,990.0,710.0
2019-11-04 19:30:00,438.0,976.0,976.0,717.0
2019-11-04 20:00:00,432.0,976.0,976.0,698.0
2019-11-04 20:30:00,432.0,961.0,961.0,704.0
2019-11-04 21:00:00,432.0,947.0,947.0,691.0
2019-11-04 21:30:00,432.0,947.0,947.0,698.0
2019-11-04 22:00:00,427.0,947.0,947.0,679.0
2019-11-04 22:30:00,427.0,933.0,933.0,685.0
2019-11-04 23:00:00,427.0,919.0,919.0,672.0
2019-11-04 23:30:00,427.0,919.0,919.0,679.0
2019-11-05 00:00:00,427.0,905.0,905.0,660.0
2019-11-05 00:30:00,427.0,905.0,905.0,666.0
2019-11-05 01:00:00,421.0,905.0,905.0,654.0
2019-11-05 01:30:00,421.0,891.0,891.0,660.0
2019-11-05 02:00:00,421.0,891.0,891.0,648.0
2019-11-05 02:30:00,421.0,891.0,891.0,654.0
2019-11-05 03:00:00,421.0,877.0,877.0,642.0
2019-11-05 03:30:00,421.0,877.0,877.0,642.0
2019-11-05 04:00:00,415.0,864.0,864.0,629.0
2019-11-05 04:30:00,415.0,864.0,864.0,636.0
2019-11-05 05:00:00,415.0,850.0,850.0,623.0
2019-11-05 05:30:00,415.0,850.0,850.0,629.0
2019-11-05 06:00:00,409.0,850.0,850.0,618.0
2019-11-05 06:30:00,409.0,837.0,837.0,623.0
2019-11-05 07:00:00,409.0,823.0,823.0,612.0
2019-11-05 07:30:00,409.0,823.0,823.0,612.0
2019-11-05 08:00:00,403.0,810.0,810.0,606.0
2019-11-05 08:30:00,403.0,810.0,810.0,606.0
2019-11-05 09:00:00,403.0,810.0,810.0,600.0
2019-11-05 09:30:00,397.0,797.0,797.0,600.0
2019-11-05 10:00:00,397.0,797.0,797.0,594.0
2019-11-05 10:30:00,397.0,783.0,783.0,594.0
2019-11-05 11:00:00,397.0,783.0,783.0,588.0
2019-11-05 11:30:00,397.0,783.0,783.0,588.0
2019-11-05 12:00:00,391.0,770.0,770.0,582.0
2019-11-05 12:30:00,391.0,770.0,770.0,582.0
2019-11-05 13:00:00,391.0,770.0,770.0,577.0
2019-11-05 13:30:00,391.0,757.0,757.0,577.0
2019-11-05 14:00:00,391.0,757.0,757.0,571.0
2019-11-05 14:30:00,391.0,757.0,757.0,577.0
2019-11-05 15:00:00,386.0,744.0,744.0,565.0
2019-11-05 15:30:00,386.0,744.0,744.0,565.0
2019-11-05 16:00:00,386.0,744.0,744.0,559.0
2019-11-05 16:30:00,386.0,731.0,731.0,559.0
2019-11-05 17:00:00,386.0,731.0,731.0,553.0
2019-11-05 17:30:00,380.0,731.0,731.0,553.0
2019-11-05 18:00:00,380.0,719.0,719.0,547.0
2019-11-05 18:30:00,380.0,719.0,719.0,553.0
2019-11-05 19:00:00,380.0,719.0,719.0,541.0
2019-11-05 19:30:00,380.0,719.0,719.0,547.0
2019-11-05 20:00:00,380.0,706.0,706.0,541.0
2019-11-05 20:30:00,375.0,706.0,706.0,536.0
